year,name,college,height_in,weight_lbs,hand_size_in,arm_length_in,40_yard,bench_press,vert_leap_in,broad_jump_in,shuttle,3cone,60yd_shuttle,bodytype,pos,seasons,wAV,games,round,overall,pick,Fitzgerald-Spielberger,Johnson,Schuckers,ras,tsa
1997,Adam Treu,Nebraska,77.4,302,10,32.5,5.24,17,28,90,4.63,8.06,,BIG,OL,10,26,155,3,72,8,833,230,412,3.426,1.816
1997,Alshermond Singleton,Temple,74.3,224,9.75,34.5,4.77,20,39.5,122,4.2,7.57,11.69,STRONG,LB,10,30,140,4,128,32,541,44,211,5.400,3.71
1997,Andre Purvis,North Carolina,76.5,304,10.88,33,5.14,33,26.5,103,4.99,9.16,,BIG,DL,3,2,21,5,144,16,481,34,177,4.883,3.246
1997,Antonio Banks,Virginia Tech,70,203,9.5,32,4.66,18,36,117,4.41,7.85,,SKILL,DB,4,2,24,4,113,17,604,68,247,4.116,2.939
1997,Barron Tanner,Oklahoma,75.3,313,9.63,35.13,5.44,22,24.5,93,4.73,8.58,,BIG,DL,7,13,78,5,149,21,464,32,167,2.608,1.506
1997,Bert Berry,Notre Dame,74.6,243,9.63,34.13,4.64,27,37.5,123,4.49,7.79,,BIG,DL,13,45,160,3,86,22,743,160,346,6.748,4.062
1997,Bob Sapp,Washington,76.4,303,9.88,35.88,5.19,30,29.5,116,4.62,8.3,,BIG,OL,1,0,1,3,69,5,854,245,427,5.895,4.195
1997,Brandon Mitchell,Texas A&M,74.9,289,9.63,35.63,4.92,16,32.5,115,4.36,7.67,,BIG,DL,8,22,96,2,59,27,934,310,483,5.488,2.74
1997,Chad Levitt,Cornell (NY),73.1,233,9.13,31.5,4.61,19,34.5,122,4.19,7.41,11.46,STRONG,RB,1,0,10,4,123,27,561,49,223,5.782,3.492
1997,Chris Ward,Kentucky,75.6,271,9.25,35.13,5.05,23,30.5,107,4.58,8.12,,BIG,DL,1,0,5,7,205,13,302,9,133,4.823,2.735
